participant_id,image,label,confidence,face,rt_ms
"amanda6","Picture 4.jpg","bag",7,"yes",8050
"amanda6","owl natural.jpg","owl",7,"yes",9892
"amanda6","4747_z_control_2.jpg","zebra",7,"yes",7706
"amanda6","2Scorpion.png","scorpion",5,"no",11927
"amanda6","5Scorpion.png","insect",3,"no",16829
"amanda6","Image 2.jpg","insect",3,"no",17386
"amanda6","bear_5.jpg","toy bear",7,"yes",11741
"amanda6","bear_6.jpg","toy bear",7,"yes",17739
"amanda6","bear_3.jpg","toy bear",7,"yes",9804
"amanda6","JH- lemon b&w.jpg","lemon",6,"no",10020
"amanda6","2jsn.png","cat",7,"yes",8683
"amanda6","Beagle1_control.jpg","dog",7,"yes",6973
"amanda6","JH- custard apple b&w.png","custard apple",4,"no",164306
"amanda6","12jsn.png","dog",7,"yes",5169
"amanda6","15jsn.jpg","cat",7,"no",6253
"amanda6","Face10.jpg","painting",6,"yes",13199
"amanda6","1Scorpion.png","scorpion",5,"no",14089
"amanda6","6jsn.png","milk",7,"no",7662
"amanda6","duck1.jpeg","duck cake",7,"yes",14238
"amanda6","plane1.jpg","plane cake",7,"no",14083
"amanda6","5Lorikeet.png","rainbow lorikeet",7,"yes",18027
"amanda6","facen9.png","face",7,"yes",8178
"amanda6","up4.png","didn't show",1,"no",14166
"amanda6","Beagle9_mosiacbubbles.jpg","dog",7,"yes",6922
"amanda6","rot1.png","kangaroo",7,"yes",8698
"amanda6","000.A7blur.png","face",7,"yes",5133
"amanda6","orca_2.png","whale",7,"yes",16956
"amanda6","pareidolia weak cloud 2.jpg","clouds",7,"yes",14619
"amanda6","orca_14.png","whales",4,"no",14944
"amanda6","facen8.png","face",7,"yes",7748
"amanda6","JH- pomegranate.jpg","pomegranate",7,"no",10063
"amanda6","JH- orange 2.png","orange",7,"no",8002
"amanda6","4747_p_control_1.jpg","crocodile",5,"yes",10867
"amanda6","000.A21blur.png","face",7,"yes",4906
"amanda6","OG_penguin-2.png","penguin",7,"no",9271
"amanda6","bunny1.jpeg","bunny cake",5,"yes",18075
"amanda6","Picture 6.jpg","clouds",7,"yes",8897
"amanda6","Picture 8.jpg","electricity outlets",7,"yes",13942
"amanda6","3Centipede.png","bug",6,"no",21049
"amanda6","Beagle5_diffused.jpg","dog",7,"yes",10592
"amanda6","HA2.jpg","artwork",6,"yes",13482
"amanda6","Beagle11_pastelssmooth.jpg","dog",7,"yes",7952
"amanda6","Sue5.jpg","dog",7,"yes",5729
"amanda6","4Magpie.png","magpie",6,"yes",36268
"amanda6","5.png","marshmallows",5,"no",12752
"amanda6","6.jpg","ice cream",7,"no",10563
"amanda6","Jdo8.png","face",3,"yes",33404
"amanda6","JH- pomegranate c-invert.jpg","fruit",5,"no",11099
"amanda6","facen4.png","man",7,"yes",8145
"amanda6","Sue4.jpg","dog",7,"yes",7156